,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,200,Serviços de Terceiro PF ,15001,"R$ 20.000,00",,,"R$ 13.048,90","R$ 6.951,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.390,22","R$ 1.390,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.951,10","R$ 1.390,22","R$ 1.390,22"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,15001,"R$ 80.000,00",,,"R$ 14.325,01","R$ 64.394,99","R$ 187,57","R$ 187,57","R$ 1.280,00","R$ 6.438,59","R$ 6.069,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 65.674,99","R$ 6.626,16","R$ 6.257,56"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,202,Auxílio-alimentação,15001,"R$ 7.000,00",,,"R$ 5.555,00","R$ 750,00","R$ 750,00","R$ 750,00","R$ 695,00","R$ 695,00","R$ 695,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.445,00","R$ 1.445,00","R$ 1.445,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,203,Despesas de exercícios anteriores,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,205,Equipamentos e Materiais Permanentes ,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1571,"R$ 50,00",,,"R$ 0,00","R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 50,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1571,"R$ 50,00",,,"R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,15001,"R$ 250.000,00",,"R$ 175.485,63","R$ 74.514,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,1550,"R$ 200.000,00",,,"R$ 200.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,15001,"R$ 150.000,00",,"R$ 13.242,03","R$ 136.757,97","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
