,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,565,Diárias - Pessoal Civil,1500,"R$ 8.000,00",,,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.000,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.000,00","R$ 0,00","R$ 0,00"
Secretaria,566,Materiais de Consumo,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,567,Serviços de Terceiro PF,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,568,Serviços de Terceiros PJ,1500,"R$ 15.000,00",,"R$ 10.000,00","R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,569,Auxílio-Alimentação,1500,"R$ 3.000,00",,,"R$ 2.160,00","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 260,65","R$ 318,70","R$ 318,70","R$ 318,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 840,00","R$ 840,00","R$ 840,00"
Secretaria,570,Obrigações Tributárias e Contributivas,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,571,Materiais de Consumo,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,572,Serviços de Terceiro PF,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,573,Serviços de Terceiros PJ,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,574,Equipamentos e Materiais Permanentes,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,575,Outras Despesas de Pessoal decorrentes de Contratos,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,1080,Outras Despesas de Pessoal decorrentes de Contratos,1621,"R$ 0,00","R$ 4.880,78",,"R$ 31,15","R$ 2.030,78","R$ 0,00","R$ 0,00","R$ 2.818,85","R$ 4.849,63","R$ 2.030,78","R$ 0,00","R$ 0,00","R$ 2.818,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.849,63","R$ 4.849,63","R$ 4.849,63"
Atenção Primária,1105,Outras Despesas de Pessoal decorrentes de Contratos,1631,"R$ 0,00","R$ 1.900,00",,"R$ 14,28",,,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.885,72","R$ 1.885,72","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.885,72","R$ 1.885,72","R$ 0,00"
Atenção Primária,576,Obras e Instalações,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,577,Obras e Instalações,,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,578,Obras e Instalações,1621,"R$ 500.000,00",,"R$ 307.000,00","R$ 152.848,97","R$ 0,00","R$ 0,00","R$ 0,00","R$ 40.151,03","R$ 23.249,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 23.249,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 40.151,03","R$ 23.249,10","R$ 23.249,10"
Atenção Primária,579,Obras e Instalações,,"R$ 500.000,00",,,"R$ 500.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,580,Equipamentos e Materiais Permanentes,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,581,Equipamentos e Materiais Permanentes,1631,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,582,Equipamentos e Materiais Permanentes,,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,583,Equipamentos e Materiais Permanentes,,"R$ 8.000,00",,,"R$ 8.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,584,Contratação por tempo Determinado,1500,"R$ 348.700,00",,,"R$ 246.703,22","R$ 35.785,54","R$ 35.785,54","R$ 35.785,54","R$ 20.946,99","R$ 20.946,99","R$ 20.946,99","R$ 45.264,25","R$ 45.264,25","R$ 45.264,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 101.996,78","R$ 101.996,78","R$ 101.996,78"
Atenção Primária,585,Contratação por tempo Determinado,1631,"R$ 90.000,00",,,"R$ 64.023,19","R$ 2.320,87","R$ 2.320,87","R$ 2.320,87","R$ 23.655,94","R$ 23.655,94","R$ 23.655,94","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 25.976,81","R$ 25.976,81","R$ 25.976,81"
Atenção Primária,586,Contratação por tempo Determinado,1604,"R$ 120.000,00",,,"R$ 77.962,07","R$ 12.968,00","R$ 12.968,00","R$ 12.968,00","R$ 12.968,00","R$ 12.968,00","R$ 12.968,00","R$ 16.101,93","R$ 16.101,93","R$ 16.101,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 42.037,93","R$ 42.037,93","R$ 42.037,93"
Atenção Primária,587,Contratação por tempo Determinado,,"R$ 10.000,00",,,"R$ 8.194,01","R$ 644,80","R$ 644,80","R$ 644,80","R$ 644,80","R$ 644,80","R$ 644,80","R$ 516,39","R$ 516,39","R$ 516,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.805,99","R$ 1.805,99","R$ 1.805,99"
Atenção Primária,588,Contratação por tempo Determinado,1621,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,589,Contratação por tempo Determinado,1621,"R$ 8.000,00",,,"R$ 8.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,590,Contratação por tempo Determinado,,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,591,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 2.200.000,00",,"R$ 51.183,61","R$ 1.712.275,90","R$ 182.967,08","R$ 182.967,08","R$ 182.967,08","R$ 173.064,63","R$ 173.064,63","R$ 173.064,63","R$ 80.508,78","R$ 80.508,78","R$ 80.508,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 436.540,49","R$ 436.540,49","R$ 436.540,49"
Atenção Primária,592,Vencimentos e Vantagens Fixas - Pessoal Civil,1631,"R$ 1.200.000,00",,"R$ 4.186,51","R$ 822.776,75","R$ 138.323,24","R$ 138.323,24","R$ 138.323,24","R$ 118.737,43","R$ 118.737,43","R$ 118.737,43","R$ 115.976,07","R$ 115.976,07","R$ 115.976,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 373.036,74","R$ 373.036,74","R$ 373.036,74"
