,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,493,Serviços de Terceiro PF,1500,"R$ 43.164,00",,,"R$ 16.265,30","R$ 20.139,22","R$ 5.449,74","R$ 50,69","R$ 0,00","R$ 5.449,74","R$ 6.980,58","R$ 6.759,48","R$ 5.449,74","R$ 3.918,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 26.898,70","R$ 16.349,22","R$ 10.950,17"
Atenção Primária,496,Serviços de Terceiros PJ,1500,"R$ 181.720,00",,,"R$ 84.421,54","R$ 35.540,22","R$ 0,00","R$ 0,00","R$ 480,00","R$ 7.017,51","R$ 1.887,18","R$ 61.278,24","R$ 20.498,92","R$ 7.404,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 97.298,46","R$ 27.516,43","R$ 9.291,73"
Atenção Primária,499,Auxílio-Alimentação,1500,"R$ 256.267,00",,,"R$ 124.970,34","R$ 42.925,00","R$ 42.925,00","R$ 42.925,00","R$ 45.475,00","R$ 45.475,00","R$ 45.475,00","R$ 42.896,66","R$ 42.896,66","R$ 42.896,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 131.296,66","R$ 131.296,66","R$ 131.296,66"
Atenção Primária,477,Contratação por tempo Determinado,1600,"R$ 198.000,00",,,"R$ 193.547,02","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.452,98","R$ 4.452,98","R$ 4.452,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.452,98","R$ 4.452,98","R$ 4.452,98"
Atenção Primária,480,Vencimentos e Vantagens Fixas - Pessoal Civil,1600,"R$ 1.354.507,00",,,"R$ 749.411,05","R$ 209.619,46","R$ 209.619,46","R$ 209.619,46","R$ 185.302,42","R$ 185.302,42","R$ 185.302,42","R$ 210.174,07","R$ 210.174,07","R$ 210.174,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 605.095,95","R$ 605.095,95","R$ 605.095,95"
Atenção Primária,484,Obrigações Patronais,1600,"R$ 235.653,00",,,"R$ 235.653,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,486,Outras Despesas Variáveis - Pessoal Civil,1600,"R$ 5.247,00",,,"R$ 5.247,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,488,Diárias - Pessoal Civil,1600,"R$ 770,00",,,"R$ 770,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,490,Materiais de Consumo,1600,"R$ 421.014,00",,,"R$ 372.545,78","R$ 41.181,44","R$ 38.036,19","R$ 37.515,47","R$ 7.286,78","R$ 522,35","R$ 1.043,07","R$ 0,00","R$ 3.936,19","R$ 3.936,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 48.468,22","R$ 42.494,73","R$ 42.494,73"
Atenção Primária,494,Serviços de Terceiro PF,1600,"R$ 40.579,00",,,"R$ 40.579,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
