Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
17515001000,FUNDEB,Principal ,"R$ 820.705,79","R$ 960.486,97","R$ 867.806,20","R$ 828.841,08",,,,,,,,,"R$ 3.477.840,04","R$ 6.500.000,00","R$ 10.523.235,10","R$ 6.067.512,90","R$ 10.422.551,11","-0,96%"
13210111002,FUNDEB,Rendimentos ,"R$ 4.848,09","R$ 9.822,47","R$ 13.727,94","R$ 11.561,94",,,,,,,,,"R$ 39.960,44","R$ 0,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 21.083,25","R$ 21.083,25","R$ 21.083,25",,,,,,,,,"R$ 63.249,75","R$ 208.000,00","R$ 168.666,00","R$ 143.182,00",,
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 66,81","R$ 57,89","R$ 107,21","R$ 122,08",,,,,,,,,"R$ 353,99","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 39.022,06",,,,,,,,,"R$ 39.022,06","R$ 73.840,00","R$ 78.044,12","R$ 61.516,76",,
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 24,86","R$ 21,54","R$ 26,36","R$ 320,78",,,,,,,,,"R$ 393,54","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 49.056,15","R$ 48.596,20","R$ 51.633,46","R$ 51.633,46",,,,,,,,"R$ 200.919,27","R$ 852.160,00","R$ 490.561,50","R$ 485.962,00",,
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 410,47","R$ 459,15","R$ 1.142,69","R$ 1.310,14",,,,,,,,,"R$ 3.322,45","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 68.248,04","R$ 41.877,18","R$ 43.166,92","R$ 43.105,28",,,,,,,,,"R$ 196.397,42","R$ 373.776,00","R$ 566.535,88","R$ 472.289,58",,
13210111015,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.952,16",,,,,,,,,"R$ 1.952,16","R$ 0,00",,,,
