,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Educação Infantil,1.020,Programa de Merenda Escolar,715,Obras e Instalações,25001,,"R$ 350.000,00",,"R$ 350.000,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,494,Contratação por tempo Determinado,15001,"R$ 202.350,00",,,"R$ 202.078,27","R$ 0,00",,,"R$ 271,73","R$ 271,73","R$ 271,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 271,73","R$ 271,73","R$ 271,73"
Ensino Fundamental,2.037,Manutenção das atividades da educação,497,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 366.360,00",,,"R$ 332.734,03","R$ 2.092,63","R$ 2.092,63","R$ 2.092,63","R$ 10.618,41","R$ 10.618,41","R$ 10.618,41","R$ 9.441,16","R$ 9.441,16","R$ 8.154,31","R$ 11.473,77","R$ 11.473,77","R$ 12.760,62",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 33.625,97","R$ 33.625,97","R$ 33.625,97"
Ensino Fundamental,2.037,Manutenção das atividades da educação,501,Obrigações Patronais,15001,"R$ 132.060,00",,,"R$ 124.595,95","R$ 1.203,49","R$ 1.203,49",,"R$ 2.248,37","R$ 2.248,37","R$ 1.203,49","R$ 1.918,27","R$ 1.918,27","R$ 2.248,37","R$ 2.093,92","R$ 2.093,92","R$ 1.918,27",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.464,05","R$ 7.464,05","R$ 5.370,13"
Ensino Fundamental,2.037,Manutenção das atividades da educação,504,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 29.820,00",,,"R$ 26.540,26","R$ 167,32","R$ 167,32","R$ 167,32","R$ 196,61","R$ 196,61","R$ 196,61","R$ 970,37","R$ 970,37","R$ 970,37","R$ 1.945,44","R$ 1.945,44","R$ 1.945,44",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.279,74","R$ 3.279,74","R$ 3.279,74"
Ensino Fundamental,2.037,Manutenção das atividades da educação,507,Diárias - Pessoal Civil,15001,"R$ 5.000,00","R$ 7.000,00",,"R$ 1.367,00","R$ 165,00","R$ 165,00","R$ 165,00","R$ 115,00","R$ 115,00","R$ 115,00","R$ 10.243,00","R$ 10.243,00","R$ 10.243,00","R$ 110,00","R$ 110,00","R$ 110,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.633,00","R$ 10.633,00","R$ 10.633,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,508,Materiais de Consumo,15001,"R$ 489.900,00",,"R$ 64.000,00","R$ 180.301,08","R$ 4.617,80",,,"R$ 140.479,31","R$ 1.942,16","R$ 1.380,16","R$ 7.443,20","R$ 23.425,13","R$ 23.987,13","R$ 93.058,61","R$ 96.162,53","R$ 95.786,63",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 245.598,92","R$ 121.529,82","R$ 121.153,92"
Ensino Fundamental,2.037,Manutenção das atividades da educação,509,Serviços de Terceiro PF,15001,"R$ 10.650,00",,,"-R$ 2.696,24","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.620,24","R$ 3.620,24","R$ 3.620,24",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.346,24","R$ 13.346,24","R$ 13.346,24"
Ensino Fundamental,2.037,Manutenção das atividades da educação,510,Serviços de Terceiros PJ,15001,"R$ 79.875,00",,,"R$ 17.939,00","R$ 50.000,00","R$ 4.523,44","R$ 4.523,44","R$ 0,00","R$ 884,94","R$ 884,94","R$ 0,00","R$ 676,15","R$ 589,10","R$ 11.936,00","R$ 7.669,63","R$ 7.756,68",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 61.936,00","R$ 13.754,16","R$ 13.754,16"
Ensino Fundamental,2.037,Manutenção das atividades da educação,511,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PESSOA JURÍDICA,15001,"R$ 58.575,00","R$ 4.600,00",,"R$ 2.314,26","R$ 60.860,74",,,"R$ 0,00","R$ 2.399,18","R$ 2.399,18","R$ 0,00","R$ 4.395,58","R$ 4.395,58","R$ 0,00","R$ 6.828,86","R$ 6.828,86",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 60.860,74","R$ 13.623,62","R$ 13.623,62"
Ensino Fundamental,2.037,Manutenção das atividades da educação,512,Equipamentos e Materiais Permanentes,15001,"R$ 21.300,00","R$ 64.000,00",,"R$ 1.320,68","R$ 0,00",,,"R$ 83.979,32",,,"R$ 0,00","R$ 3.909,32","R$ 3.909,32","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 83.979,32","R$ 3.909,32","R$ 3.909,32"
