Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março ,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas ,Repasse,2025,Atualização Quadrimestral,% Atualização 
17515001000,FUNDEB,Principal ,"R$ 515.774,66","R$ 601.842,80","R$ 530.617,18","R$ 496.974,79",,,,,,,,,"R$ 2.145.209,43","R$ 5.850.000,00","R$ 6.349.651,65","R$ 6.330.773,89","R$ 6.279.566,40","-1,10%"
13210111002,FUNDEB,Rendimentos ,"R$ 3.419,24","R$ 5.985,91","R$ 6.521,37","R$ 4.636,48",,,,,,,,,"R$ 20.563,00","R$ 0,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00","R$ 15.771,63","R$ 17.580,19",,,,,,,,,"R$ 33.351,82","R$ 0,00",,,,
17155301000,FUNDEB,ETI,"R$ 6.755,27","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 6.755,27","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 11.980,25","R$ 11.980,25","R$ 11.980,25",,,,,,,,,"R$ 35.940,75","R$ 89.000,00","R$ 95.842,00","R$ 88.696,00",,
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 57,49","R$ 49,82","R$ 235,13","R$ 315,09",,,,,,,,,"R$ 657,53","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 35.051,46",,,,,,,,,"R$ 35.051,46","R$ 240.000,00","R$ 70.102,92","R$ 51.563,18",,
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 36,97","R$ 16,26","R$ 19,90","R$ 284,73",,,,,,,,,"R$ 357,86","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 57.957,20","R$ 57.957,20","R$ 60.224,43","R$ 61.773,11",,,,,,,,"R$ 237.911,94","R$ 540.000,00","R$ 597.709,84","R$ 579.572,00",,
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 663,61","R$ 606,70","R$ 1.433,93","R$ 0,00",,,,,,,,,"R$ 2.704,24","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 65.491,38","R$ 37.809,97","R$ 38.974,45","R$ 38.918,79","R$ 38.079,27",,,,,,,,"R$ 219.273,86","R$ 350.000,00","R$ 492.489,25","R$ 450.609,48",,
13210111015,Remunerações Bancárias,Rendimentos ,"R$ 7.392,44","R$ 6.788,39","R$ 8.693,45","R$ 8.164,48",,,,,,,,,"R$ 31.038,76","R$ 0,00",,,,
