,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,1.017,AQUISIÇÃO DE VEICULOS E EQUIPAMENTOS ESCOLARES,246,Equipamentos e Materiais Permanentes,2571,"R$ 0,00","R$ 671.000,00",,"R$ 78,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 670.922,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 670.922,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,247,Contratação por tempo Determinado,15001,"R$ 1.000,00","R$ 3.500,00",,"R$ 2.035,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.464,20","R$ 2.464,20","R$ 2.464,20",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.464,20","R$ 2.464,20","R$ 2.464,20"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,248,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.200.000,00",,"R$ 402.000,00","R$ 788.952,20","R$ 6.605,48","R$ 6.605,48","R$ 6.605,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.442,32","R$ 2.442,32","R$ 2.442,32",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.047,80","R$ 9.047,80","R$ 9.047,80"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,249,Obrigações Patronais,15001,"R$ 1.000.000,00",,"R$ 210.000,00","R$ 788.563,33","R$ 523,50","R$ 523,50","R$ 55,75","R$ 0,00","R$ 0,00","R$ 467,55","R$ 0,00","R$ 359,24","R$ 359,24","R$ 913,17","R$ 913,17","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.436,67","R$ 1.795,91","R$ 882,54"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,250,Indenizações e Restituições Trabalhistas,15001,"R$ 20.000,00",,,"R$ 13.659,35","R$ 3.982,28","R$ 3.982,28","R$ 3.982,28","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.358,37","R$ 1.809,13","R$ 1.809,13",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.340,65","R$ 5.791,41","R$ 5.791,41"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,251,Materiais de Consumo,15001,"R$ 78.336,00",,,"R$ 20.118,83","R$ 6.191,13","R$ 0,00","R$ 0,00","R$ 39.725,40","R$ 5.599,53","R$ 5.599,53","R$ 9.801,12","R$ 40.123,50","R$ 40.123,50","R$ 2.499,52","R$ 7.956,68","R$ 7.956,68",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 58.217,17","R$ 53.679,71","R$ 53.679,71"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,251,Materiais de Consumo,15403,"R$ 0,00","R$ 182.000,00",,"R$ 16.926,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 162.534,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 162.534,40","R$ 162.534,40","R$ 2.539,60","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 165.074,00","R$ 162.534,40","R$ 162.534,40"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,251,Materiais de Consumo,1550,"R$ 40.000,00","R$ 27.000,00",,"R$ 940,04","R$ 23.254,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.937,81","R$ 23.254,50","R$ 23.254,50","R$ 26.867,65","R$ 15.937,81","R$ 15.937,81",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 66.059,96","R$ 39.192,31","R$ 39.192,31"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,251,Materiais de Consumo,1551,"R$ 1.664,00",,,"R$ 1.664,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.057,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,251,Materiais de Consumo,1709,"R$ 100.000,00",,"R$ 50.000,00","R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
