,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,266,Materiais de Consumo,15001,"R$ 100.000,00","R$ 30.000,00","R$ 50.000,00","R$ 1.203,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 78.796,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 78.796,80","R$ 78.796,80","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 78.796,80","R$ 78.796,80","R$ 78.796,80"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,266,Materiais de Consumo,1540,"R$ 0,00","R$ 2.000,00",,"R$ 30,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.969,92","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.969,92","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,266,Materiais de Consumo,1550,"R$ 50.000,00",,,"R$ 41.643,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.356,90","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.356,90","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,267,"MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA",1500,"R$ 130.000,00",,"R$ 120.000,00","R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,268,Serviços de Terceiros PJ,15001,"R$ 2.780.000,00",,"R$ 350.000,00","R$ 109.503,64","R$ 2.268.796,36","R$ 189.066,53","R$ 189.066,53","R$ 0,00","R$ 2.079.729,83","R$ 189.066,53","R$ 51.700,00","R$ 0,00","R$ 189.066,53","R$ 0,00","R$ 14.100,00","R$ 203.167,13",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.320.496,36","R$ 2.282.896,36","R$ 770.366,72"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,268,Serviços de Terceiros PJ,1550,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,268,Serviços de Terceiros PJ,1553,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.007,INCENTIVO AOS CENTROS INFANTIS,269,Contribuições,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.007,INCENTIVO AOS CENTROS INFANTIS,270,Subvenções Sociais,1500,"R$ 30.000,00","R$ 20.000,00",,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.007,INCENTIVO AOS CENTROS INFANTIS,270,Subvenções Sociais,1710,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.060,DOCENTES DO MAGISTÉRIO,271,Contratação por tempo Determinado,15407,"R$ 200.000,00",,,"R$ 54.286,27","R$ 0,00","R$ 0,00","R$ 0,00","R$ 45.105,48","R$ 45.105,48","R$ 45.105,48","R$ 54.808,83","R$ 54.808,83","R$ 54.808,83","R$ 45.799,42","R$ 45.799,42","R$ 45.799,42",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 145.713,73","R$ 145.713,73","R$ 145.713,73"
Ensino Fundamental,2.060,DOCENTES DO MAGISTÉRIO,272,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 2.400.000,00",,"R$ 701.500,00","R$ 987.034,37","R$ 74.296,33","R$ 74.296,33","R$ 74.296,33","R$ 208.839,78","R$ 208.839,78","R$ 208.839,78","R$ 212.668,52","R$ 212.668,52","R$ 212.668,52","R$ 215.661,00","R$ 215.661,00","R$ 215.661,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 711.465,63","R$ 711.465,63","R$ 711.465,63"
Ensino Fundamental,2.060,DOCENTES DO MAGISTÉRIO,273,Obrigações Patronais,15407,"R$ 700.000,00",,,"R$ 439.024,47","R$ 67.783,93","R$ 67.783,93","R$ 0,00","R$ 62.954,11","R$ 62.954,11","R$ 67.783,93","R$ 65.151,49","R$ 65.151,49","R$ 62.954,11","R$ 65.086,00","R$ 65.086,00","R$ 65.151,49",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 260.975,53","R$ 260.975,53","R$ 195.889,53"
Ensino Fundamental,2.060,DOCENTES DO MAGISTÉRIO,274,Indenizações e Restituições Trabalhistas,15403,"R$ 70.000,00",,,"R$ 70.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.061,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,275,Contratação por tempo Determinado,15407,"R$ 1.000,00","R$ 17.200,00",,"R$ 48,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.040,26","R$ 6.040,26","R$ 6.040,26","R$ 6.088,69","R$ 6.088,69","R$ 6.088,69","R$ 6.022,07","R$ 6.022,07","R$ 6.022,07",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 18.151,02","R$ 18.151,02","R$ 18.151,02"
Ensino Fundamental,2.061,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,276,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 500.000,00",,,"R$ 172.250,61","R$ 50.787,76","R$ 50.787,76","R$ 50.787,76","R$ 92.397,87","R$ 92.397,87","R$ 92.397,87","R$ 93.472,15","R$ 93.472,15","R$ 93.472,15","R$ 91.091,61","R$ 91.091,61","R$ 91.091,61",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 327.749,39","R$ 327.749,39","R$ 327.749,39"
Ensino Fundamental,2.061,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,277,Obrigações Patronais,15407,"R$ 250.000,00",,,"R$ 138.601,12","R$ 28.044,36","R$ 28.044,36","R$ 0,00","R$ 27.409,78","R$ 27.409,78","R$ 28.044,36","R$ 27.554,27","R$ 27.554,27","R$ 27.409,78","R$ 28.390,47","R$ 28.390,47","R$ 27.554,27",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 111.398,88","R$ 111.398,88","R$ 83.008,41"
Ensino Fundamental,2.061,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,278,Outras Despesas Variáveis - Pessoal Civil,15403,"R$ 400.000,00",,"R$ 388.700,00","R$ 11.300,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.061,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,279,AUXÍLIO-ALIMENTAÇÃO,15001,"R$ 475.000,00",,,"R$ 58.650,00","R$ 84.000,00","R$ 84.000,00","R$ 84.000,00","R$ 109.650,00","R$ 109.650,00","R$ 109.650,00","R$ 111.350,00","R$ 111.350,00","R$ 111.350,00","R$ 111.350,00","R$ 111.350,00","R$ 111.350,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 416.350,00","R$ 416.350,00","R$ 416.350,00"
Educação Infantil,2.062,DOCENTES DO MAGISTÉRIO,280,Contratação por tempo Determinado,15407,"R$ 1.000,00","R$ 23.500,00",,"R$ 402,49","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.930,78","R$ 2.930,78","R$ 2.930,78","R$ 8.683,79","R$ 8.683,79","R$ 8.683,79","R$ 12.482,94","R$ 12.482,94","R$ 12.482,94",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 24.097,51","R$ 24.097,51","R$ 24.097,51"
Educação Infantil,2.062,DOCENTES DO MAGISTÉRIO,281,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 800.000,00",,"R$ 16.000,00","R$ 529.926,70","R$ 24.572,19","R$ 24.572,19","R$ 24.572,19","R$ 76.773,66","R$ 76.773,66","R$ 76.773,66","R$ 75.334,73","R$ 75.334,73","R$ 75.334,73","R$ 77.392,72","R$ 77.392,72","R$ 77.392,72",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 254.073,30","R$ 254.073,30","R$ 254.073,30"
Educação Infantil,2.062,DOCENTES DO MAGISTÉRIO,282,Obrigações Patronais,15407,"R$ 500.000,00",,,"R$ 410.869,43","R$ 24.875,27","R$ 24.875,27","R$ 0,00","R$ 20.657,14","R$ 20.657,14","R$ 24.875,27","R$ 21.397,16","R$ 21.397,16","R$ 20.657,14","R$ 22.201,00","R$ 22.201,00","R$ 21.397,16",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89.130,57","R$ 89.130,57","R$ 66.929,57"
Educação Infantil,2.062,DOCENTES DO MAGISTÉRIO,283,Indenizações e Restituições Trabalhistas,15403,"R$ 47.000,00",,"R$ 6.000,00","R$ 41.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,284,Contratação por tempo Determinado,15407,"R$ 1.000,00","R$ 14.000,00",,"R$ 818,39","R$ 2.039,08","R$ 2.039,08","R$ 2.039,08","R$ 3.712,62","R$ 3.712,62","R$ 3.712,62","R$ 3.886,33","R$ 3.886,33","R$ 3.886,33","R$ 4.543,58","R$ 4.543,58","R$ 4.543,58",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.181,61","R$ 14.181,61","R$ 14.181,61"
Educação Infantil,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,285,Vencimentos e Vantagens Fixas - Pessoal Civil,15407,"R$ 400.000,00",,,"R$ 364.836,94","R$ 10.992,15","R$ 10.992,15","R$ 10.992,15","R$ 8.253,73","R$ 8.253,73","R$ 8.253,73","R$ 7.954,85","R$ 7.954,85","R$ 7.954,85","R$ 7.962,33","R$ 7.962,33","R$ 7.962,33",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 35.163,06","R$ 35.163,06","R$ 35.163,06"
Educação Infantil,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,286,Obrigações Patronais,15407,"R$ 230.000,00",,,"R$ 216.046,95","R$ 3.609,73","R$ 3.609,73","R$ 0,00","R$ 3.936,26","R$ 3.936,26","R$ 3.609,73","R$ 3.117,70","R$ 3.117,70","R$ 3.936,26","R$ 3.289,36","R$ 3.289,36","R$ 3.117,70",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.953,05","R$ 13.953,05","R$ 10.663,69"
Ensino Geral,2.064,MANUTENÇÃO DA MERENDA ESCOLAR,287,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.064,MANUTENÇÃO DA MERENDA ESCOLAR,288,Materiais de Consumo,1500,"R$ 602.000,00",,,"R$ 409.926,67","R$ 68.028,39","R$ 0,00","R$ 0,00","R$ 23.020,47","R$ 91.048,86","R$ 69.120,63","R$ 52.957,40","R$ 52.957,40","R$ 74.885,63","R$ 48.067,07","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 192.073,33","R$ 144.006,26","R$ 144.006,26"
Ensino Geral,2.064,MANUTENÇÃO DA MERENDA ESCOLAR,288,Materiais de Consumo,1552,"R$ 208.000,00",,,"R$ 133.712,48","R$ 10.796,35","R$ 0,00","R$ 0,00","R$ 22.365,71","R$ 21.711,17","R$ 10.796,35","R$ 13.782,24","R$ 25.233,13","R$ 36.147,95","R$ 27.343,22","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 74.287,52","R$ 46.944,30","R$ 46.944,30"
Ensino Superior,2.065,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,289,AUXÍLIO FINANCEIRO A ESTUDANTES,1500,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Superior,2.065,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,290,Serviços de Terceiros PJ,1500,"R$ 450.000,00",,,"R$ 301.455,00","R$ 1.200,00","R$ 102,64","R$ 102,64","R$ 40.302,90","R$ 102,64","R$ 102,64","R$ 0,00","R$ 7.566,14","R$ 7.566,14","R$ 107.042,10","R$ 31.449,34","R$ 31.449,34",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 148.545,00","R$ 39.220,76","R$ 39.220,76"
