Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
17515001000,FUNDEB,Principal ,"R$ 1.437.610,56","R$ 1.669.133,20","R$ 1.289.632,92","R$ 1.207.867,05",,,,,,,,,"R$ 5.604.243,73","R$ 14.299.998,90","R$ 18.546.136,43","R$ 13.841.764,37","R$ 18.374.902,60","-0,92%"
13210111002,FUNDEB,Rendimentos FUNDEB,"R$ 5.485,63","R$ 9.347,85","R$ 13.425,80","R$ 11.040,49",,,,,,,,,"R$ 39.299,77","R$ 0,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155301000,FUNDEB,ETI,"R$ 25.694,62","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 25.694,62","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 225.153,57","R$ 243.916,37",,,,,,,,,"R$ 469.069,94","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 46.140,00","R$ 46.140,00","R$ 46.140,00",,,,,,,,,"R$ 138.420,00","R$ 285.998,90","R$ 369.120,00","R$ 302.356,00",,
13210111016,Remunerações Bancárias,Rendimentos PNAE,"R$ 61,54","R$ 29,62","R$ 538,74","R$ 648,12",,,,,,,,,"R$ 1.278,02","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 27.502,49",,,,,,,,,"R$ 27.502,49","R$ 109.998,90","R$ 55.004,98","R$ 66.095,16",,
13210111017,Remunerações Bancárias,Rendimentos PNATE,"R$ 311,18","R$ 269,61","R$ 329,92","R$ 507,84",,,,,,,,,"R$ 1.418,55","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 71.305,58","R$ 71.305,58","R$ 71.305,58","R$ 71.305,58",,,,,,,,"R$ 285.222,32","R$ 659.998,90","R$ 713.055,80","R$ 713.055,80",,
13210111023,Remunerações Bancárias,Rendimentos PTE,"R$ 828,06","R$ 870,53","R$ 1.916,04","R$ 1.057,56",,,,,,,,,"R$ 4.672,19","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 103.583,31","R$ 61.660,88","R$ 63.559,93","R$ 63.469,16","R$ 62.100,05",,,,,,,,"R$ 354.373,33","R$ 769.998,90","R$ 834.179,92","R$ 659.692,24",,
13210111015,Remunerações Bancárias,Rendimentos QESE,"R$ 618,43","R$ 1.079,98","R$ 1.468,46","R$ 1.281,47",,,,,,,,,"R$ 4.448,34","R$ 0,00",,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 713.055,80",,,,,,,,,,,,,
