Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,TOTAL,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
9517280131000,Dedução FUNDEB,Cota-Parte do IPI - Municípios - Principal,"-R$ 6.236,60","-R$ 6.544,66","-R$ 6.449,68","-R$ 5.376,57",,,,,,,,,"-R$ 24.607,51","-R$ 40.000,00",,,,
17515001000,FUNDEB,Principal,"R$ 869.361,60","R$ 1.018.950,16","R$ 898.361,56","R$ 841.403,30",,,,,,,,,"R$ 3.628.076,62","R$ 9.999.000,00","R$ 10.703.377,31",,"R$ 10.584.763,40","-1,11%"
13210111002,FUNDEB,Rendimentos FUNDEB,"R$ 5.898,51","R$ 7.735,75","R$ 11.135,65","R$ 9.212,88",,,,,,,,,"R$ 33.982,79","R$ 1.000,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 19.906,68","R$ 21.897,35","R$ 23.888,02","R$ 25.878,69",,,,,,,,,"R$ 91.570,74","R$ 0,00",,,,
17155301000,FUNDEB,ETI,"R$ 20.206,89","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 20.206,89","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 25.677,50","R$ 25.677,50","R$ 25.677,50",,,,,,,,,"R$ 77.032,50","R$ 228.000,00","R$ 205.420,00","R$ 163.782,00",,
13210111016,Remunerações Bancárias,Rendimentos PNAE,"R$ 2,33","R$ 1,56","R$ 355,64","R$ 405,57",,,,,,,,,"R$ 765,10","R$ 1.000,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 53.476,80",,,,,,,,,"R$ 53.476,80","R$ 100.000,00","R$ 78.044,12","R$ 120.398,72",,
13210111017,Remunerações Bancárias,Rendimentos PNATE,"R$ 11,81","R$ 6,25","R$ 7,65","R$ 413,84",,,,,,,,,"R$ 439,55","R$ 1.000,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 124.776,98","R$ 124.776,98","R$ 147.276,98",,,,,,,,,"R$ 396.830,94","R$ 1.400.000,00","R$ 1.247.769,80","R$ 1.427.769,80",,
13210111023,Remunerações Bancárias,Rendimentos PTE,"R$ 213,87","R$ 274,45","R$ 1.555,28","R$ 999,08",,,,,,,,,"R$ 3.042,68","R$ 1.000,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 90.050,65","R$ 55.233,69","R$ 56.934,79","R$ 56.853,48",,,,,,,,,"R$ 259.072,61","R$ 672.000,00","R$ 747.229,58","R$ 617.960,76",,
13210111015,Remunerações Bancárias,Rendimentos QESE,"R$ 3.499,39","R$ 3.044,00","R$ 3.118,35","R$ 1.528,22",,,,,,,,,"R$ 11.189,96","R$ 1.000,00",,,,
