Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
17515001000,FUNDEB,Principal ,"R$ 1.018.384,18","R$ 649.088,70","R$ 1.151.762,88","R$ 768.054,24",,,,,,,,,"R$ 3.587.290,00","R$ 12.533.865,00","R$ 10.288.477,70","R$ 10.365.279,63","R$ 10.327.687,76","0,38%"
13210111002,FUNDEB,Rendimentos Fundeb,"R$ 0,00","R$ 13.334,63","R$ 28.707,09","R$ 13.276,61",,,,,,,,,"R$ 55.318,33","R$ 1.000,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 29.275,50","R$ 29.275,50","R$ 25.323,77",,,,,,,,,"R$ 83.874,77","R$ 180.000,00","R$ 234.204,00","R$ 219.318,00",,
13210111016,Remunerações Bancárias,Rendimentos Pnae,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 21.337,24",,,,,,,,,"R$ 21.337,24","R$ 45.000,00","R$ 42.674,48","R$ 49.989,24",,
13210111017,Remunerações Bancárias,Rendimentos Pnate,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 56.387,33","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 56.387,33","R$ 600.000,00","R$ 563.873,30","R$ 363.350,74",,
13210111023,Remunerações Bancárias,Rendimentos PTE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 109.848,43","R$ 65.175,75","R$ 67.183,05","R$ 67.087,11",,,,,,,,,"R$ 309.294,34","R$ 690.000,00","R$ 881.730,91","R$ 762.171,49",,
13210111015,Remunerações Bancárias,Rendimentos QESE,"R$ 1.744,78","R$ 0,00","R$ 0,00","R$ 2.409,56",,,,,,,,,"R$ 4.154,34","R$ 2.500,00",,,,
