,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,12.361.120.110.300.000,AQUIS. EQUIP. INFORMATICA P / ENSINO,379,Equipamentos e Materiais Permanentes,15001,"R$ 10.000,00",,,"R$ 610,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.390,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.390,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.390,00","R$ 9.390,00","R$ 0,00"
Ensino Geral,12.361.120.110.310.000,AQ. VEIC. EQUIP. MAT. PERM. P/TRANSP. ESC,380,Equipamentos e Materiais Permanentes,15001,"R$ 260.000,00",,"R$ 85.000,00","R$ 175.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.110.310.000,AQ. VEIC. EQUIP. MAT. PERM. P/TRANSP. ESC,381,Equipamentos e Materiais Permanentes,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.110.310.000,AQ. VEIC. EQUIP. MAT. PERM. P/TRANSP. ESC,382,Equipamentos e Materiais Permanentes,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,12.361.120.111.140.000,AQUIS. GERADOR E EQUIP. ENERGIA FOTOVOLTÁICA ESC.,383,Equipamentos e Materiais Permanentes,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.120.830.000,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,384,Contratação por tempo Determinado,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.120.830.000,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,385,Contratação por tempo Determinado,15001,"R$ 893.000,00",,,"R$ 766.969,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.838,83","R$ 4.838,83","R$ 4.838,83","R$ 58.298,94","R$ 58.298,94","R$ 58.298,94","R$ 62.892,93","R$ 62.892,93","R$ 62.892,93",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 126.030,70","R$ 126.030,70","R$ 126.030,70"
Ensino Fundamental,12.361.120.120.830.000,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,386,Contratação por tempo Determinado,1500,"R$ 5.000,00",,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.120.830.000,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,387,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,12.361.120.120.830.000,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,388,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 2.200.000,00",,,"R$ 1.639.143,78","R$ 187.332,11","R$ 187.332,11","R$ 187.332,11","R$ 12.256,77","R$ 12.256,77","R$ 12.256,77","R$ 180.508,33","R$ 180.508,33","R$ 180.508,33","R$ 180.759,01","R$ 180.759,01","R$ 180.759,01",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 560.856,22","R$ 560.856,22","R$ 560.856,22"
