Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçamento Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
17515001000,FUNDEB,Principal ,"R$ 485.352,13","R$ 568.025,30","R$ 500.801,89","R$ 469.049,77",,,,,,,,,"R$ 2.023.229,09","R$ 5.665.000,00","R$ 6.246.002,43","R$ 3.038.529,82","R$ 6.179.653,33","-1,06%"
13210111002,FUNDEB,Rendimentos FUNDEB,"R$ 4.776,47","R$ 5.639,89","R$ 6.880,82","R$ 5.309,20",,,,,,,,,"R$ 22.606,38","R$ 120.050,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 79.485,95","R$ 29.984,62","R$ 33.022,59","R$ 35.674,48",,,,,,,,,"R$ 178.167,64","R$ 511.177,71",,"R$ 404.879,96",,
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 14.488,75","R$ 14.488,75","R$ 14.488,75",,,,,,,,,"R$ 43.466,25","R$ 119.000,00","R$ 115.910,00","R$ 99.516,00",,
13210111016,Remunerações Bancárias,Rendimentos  PNAE,"R$ 53,27","R$ 36,75","R$ 212,74","R$ 223,88",,,,,,,,,"R$ 526,64","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 33.867,10",,,,,,,,,"R$ 33.867,10","R$ 79.000,00","R$ 67.734,20","R$ 58.887,00",,
13210111017,Remunerações Bancárias,Rendimentos PNATE,"R$ 0,36","R$ 0,31","R$ 0,38","R$ 258,05",,,,,,,,,"R$ 259,10","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 116.142,54","R$ 116.142,54","R$ 123.401,45","R$ 123.401,45",,,,,,,,,"R$ 479.087,98","R$ 1.098.000,00","R$ 1.234.014,50","R$ 1.161.425,40",,
13210111023,Remunerações Bancárias,Rendimentos PTE,"R$ 321,07","R$ 401,34","R$ 1.530,94","R$ 1.358,84",,,,,,,,,"R$ 3.612,19","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 53.796,49","R$ 33.391,28","R$ 34.419,67","R$ 34.370,51",,,,,,,,,"R$ 155.977,95","R$ 346.000,00","R$ 451.734,25","R$ 367.972,85",,
13210111015,Remunerações Bancárias,Rendimentos QESE,"R$ 923,04","R$ 952,63","R$ 1.300,95","R$ 914,01",,,,,,,,,"R$ 4.090,63","R$ 2.000,00",,,,
