,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,221,Obrigações Patronais,25001,"R$ 0,00","R$ 18.798,63",,"R$ 0,00","R$ 7.485,66","R$ 7.485,66","R$ 0,00","R$ 11.312,97","R$ 11.312,97","R$ 8.994,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 18.798,63","R$ 18.798,63","R$ 8.994,09"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,222,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,222,Outras Despesas Variáveis - Pessoal Civil,25001,"R$ 0,00","R$ 2.342,64",,"R$ 0,00","R$ 745,93","R$ 745,93","R$ 745,93","R$ 1.596,71","R$ 1.596,71","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.342,64","R$ 2.342,64","R$ 745,93"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,223,Indenizações e Restituições Trabalhistas,15001,"R$ 20.000,00","R$ 114.518,78",,"R$ 0,00","R$ 134.518,78","R$ 134.518,78","R$ 134.518,78","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 134.518,78","R$ 134.518,78","R$ 134.518,78"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,223,Indenizações e Restituições Trabalhistas,25001,"R$ 0,00","R$ 16.777,02",,"R$ 0,00","R$ 16.777,02","R$ 16.777,02","R$ 16.777,02","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.777,02","R$ 16.777,02","R$ 16.777,02"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,224,Diárias - Pessoal Civil,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,225,Materiais de Consumo,1500,"R$ 0,00",,,"-R$ 1.442,99","R$ 1.442,99","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.442,99","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,225,Materiais de Consumo,15001,"R$ 350.000,00","R$ 130.000,00","R$ 4.800,00","R$ 250.677,67","R$ 182.777,75","R$ 21.754,30","R$ 0,00","R$ 41.744,58","R$ 6.346,51","R$ 21.754,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 224.522,33","R$ 28.100,81","R$ 21.754,30"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,226,Serviços de Terceiro PF,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,227,Serviços de Terceiros PJ,15001,"R$ 20.000,00","R$ 4.800,00",,"R$ 14.860,00","R$ 1.440,00","R$ 120,00","R$ 0,00","R$ 8.500,00","R$ 5.170,00","R$ 5.170,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.940,00","R$ 5.290,00","R$ 5.170,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,228,Serv. de TI e Comunicação - PJ,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.010,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,229,Indenizações e Restituições Trabalhistas,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,230,Contratação por tempo Determinado,15001,"R$ 580.000,00","R$ 45.971,01",,"R$ 559.305,59","R$ 25.809,56","R$ 25.809,56","R$ 25.809,56","R$ 40.855,86","R$ 40.855,86","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 66.665,42","R$ 66.665,42","R$ 25.809,56"
