,,,,,,,,,,,,,,,,,,,,
Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
9517280131000,Dedução FUNDEB,Cota-Parte do IPI - Municípios - Principal,"-R$ 4.887,83","-R$ 5.129,27","-R$ 5.058,82","R$ 0,00",,,,,,,,,"-R$ 15.075,92","-R$ 50.000,00",,,,
17515001000,FUNDEB,Principal ,"R$ 523.877,29","R$ 613.969,34","R$ 539.026,06","R$ 727.372,39",,,,,,,,,"R$ 2.404.245,08","R$ 5.500.000,00","R$ 6.761.202,38","R$ 6.070.279,40","R$ 6.689.754,53","-1,06%"
13210111002,FUNDEB,Rendimentos  FUNDED,"R$ 12.421,63","R$ 7.537,32","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 19.958,95","R$ 105.000,00",,,,
17155201000,FUNDEB,VAAR ,"R$ 83.174,63","R$ 31.787,37","R$ 34.677,13","R$ 0,00",,,,,,,,,"R$ 149.639,13","R$ 449.000,00","R$ 577.952,11","R$ 369.729,56",,
17155301000,FUNDEB,ETI,"R$ 14.210,63","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 14.210,63","R$ 0,00",,,,
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 15.841,75","R$ 15.841,75","R$ 15.841,75",,,,,,,,,"R$ 47.525,25","R$ 109.000,00","R$ 126.734,00","R$ 110.728,00",,
13210111016,Remunerações Bancárias,Rendimentos PNAE,"R$ 15,71","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 15,71","R$ 5.000,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 19.760,71",,,,,,,,,"R$ 19.760,71","R$ 64.000,00","R$ 39.521,42","R$ 48.085,70",,
13210111017,Remunerações Bancárias,Rendimentos PNATE,"R$ 158,18","R$ 150,74","R$ 366,31","R$ 0,00",,,,,,,,,"R$ 675,23","R$ 1.000,00",,,,
,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 40.107,44","R$ 40.107,44","R$ 25.320,48","R$ 42.219,86",,,,,,,,"R$ 147.755,22","R$ 125.000,00","R$ 422.198,60","R$ 401.074,40",,
13210111023,Remunerações Bancárias,Rendimentos PTE,"R$ 1.603,61","R$ 1.325,39","R$ 1.249,74","R$ 0,00",,,,,,,,,"R$ 4.178,74","R$ 12.000,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 61.648,78","R$ 39.215,92","R$ 40.423,70","R$ 40.365,97","R$ 39.495,23",,,,,,,,"R$ 221.149,60","R$ 695.000,00","R$ 530.532,99","R$ 426.966,81",,
13210111015,Remunerações Bancárias,Rendimentos QESE,"R$ 1.227,70","R$ 1.385,85","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 2.613,55","R$ 40.000,00",,,,
