,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,585,Indenizações e Restituições Trabalhistas,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,586,Materiais de Consumo,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,587,"Material, Bem ou Serviço para Distribuição Gratuita",15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.354,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,588,Serviços de Terceiros PJ,15001,"R$ 2.400.000,00",,,"R$ 1.133.114,94","R$ 45.000,00","R$ 5.521,16","R$ 41,28","R$ 1.221.885,06","R$ 410.865,92","R$ 5.509,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.266.885,06","R$ 416.387,08","R$ 5.551,01"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,716,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 0,00","R$ 3.241,00",,"R$ 0,40","R$ 137,19","R$ 137,19","R$ 137,19","R$ 3.103,41","R$ 3.103,41","R$ 3.103,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.240,60","R$ 3.240,60","R$ 3.240,60"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,721,Obrigações Patronais,1500,"R$ 0,00","R$ 535,00",,"R$ 0,30","R$ 22,63","R$ 22,63","R$ 0,00","R$ 512,07","R$ 512,07","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 534,70","R$ 534,70","R$ 0,00"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,717,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 4.786,00",,"R$ 0,90","R$ 1.681,69","R$ 1.681,69","R$ 1.681,69","R$ 3.103,41","R$ 3.103,41","R$ 3.103,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.785,10","R$ 4.785,10","R$ 4.785,10"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,589,Contratação por tempo Determinado,15001,"R$ 40.000,00",,,"R$ 37.077,36","R$ 946,52","R$ 946,52","R$ 923,35","R$ 1.976,12","R$ 1.976,12","R$ 1.837,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.922,64","R$ 2.922,64","R$ 2.760,40"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,590,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 400.000,00",,,"R$ 339.872,59","R$ 33.996,02","R$ 33.996,02","R$ 33.996,02","R$ 26.131,39","R$ 26.131,39","R$ 26.131,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 60.127,41","R$ 60.127,41","R$ 60.127,41"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,591,Obrigações Patronais,15001,"R$ 40.000,00",,,"R$ 28.131,29","R$ 7.663,99","R$ 7.663,99","R$ 4.518,46","R$ 4.204,72","R$ 4.204,72","R$ 675,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 11.868,71","R$ 11.868,71","R$ 5.193,86"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,592,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,593,Indenizações e Restituições Trabalhistas,15001,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.355,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,594,Materiais de Consumo,15001,"R$ 250.000,00",,"R$ 14.000,00","R$ 211.940,20","R$ 253,20","R$ 0,00","R$ 0,00","R$ 23.806,60","R$ 470,90","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 24.059,80","R$ 470,90","R$ 0,00"
