Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas ,Repasse,2025
13210111002,FUNDEB,Rendimentos ,"R$ 1.900,89","R$ 2.941,79","R$ 4.147,70","R$ 3.205,31",,,,,,,,,"R$ 12.195,69","R$ 100.000,00","R$ 0,00",
17155201000,FUNDEB,VAAR ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00",
17155301000,FUNDEB,ETI,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00",
17155200000,FUNDEB,VAAT,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00",
17145201000,Tranferência Programas Federais ,PNAE,"R$ 0,00","R$ 17.328,50","R$ 17.328,50","R$ 17.328,50",,,,,,,,,"R$ 51.985,50","R$ 210.000,00","R$ 138.628,00","R$ 116.194,00"
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 7,15","R$ 4,26","R$ 251,81","R$ 313,82",,,,,,,,,"R$ 577,04","R$ 3.000,00","R$ 0,00","R$ 0,00"
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 27.599,53",,,,,,,,,"R$ 27.599,53","R$ 50.000,00","R$ 55.199,06","R$ 40.900,28"
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 0,26","R$ 0,22","R$ 0,27","R$ 210,26",,,,,,,,,"R$ 211,01","R$ 1.650,00","R$ 0,00","R$ 0,00"
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 69.529,95","R$ 69.529,95","R$ 73.875,57","R$ 37.174,46",,,,,,,,"R$ 250.109,93",,"R$ 695.299,50","R$ 695.299,50"
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 49,69","R$ 153,21","R$ 609,61","R$ 392,20",,,,,,,,,"R$ 1.204,71","R$ 6.000,00","R$ 0,00","R$ 0,00"
17145001000,Tranferência Programas Federais ,QESE,"R$ 59.894,54","R$ 36.102,75","R$ 37.214,65","R$ 37.161,50","R$ 36.359,88",,,,,,,,"R$ 206.733,32","R$ 400.000,00","R$ 446.575,80","R$ 414.682,99"
13210111015,Remunerações Bancárias,Rendimentos ,"R$ 1.000,01","R$ 769,97","R$ 709,37","R$ 746,94",,,,,,,,,"R$ 3.226,29","R$ 9.000,00","R$ 0,00","R$ 0,00"
