,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,TOTAL ,TOTAL ,TOTAL 
Ensino Geral,2.028,MANUTENCAO DA MERENDA ESCOLAR,129,Materiais de Consumo,1552,"R$ 45.000,00",,,"R$ 30.135,92","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 14.864,08","R$ 14.864,08","R$ 14.864,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.864,08","R$ 14.864,08","R$ 14.864,08"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,681,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 22.598,00",,"R$ 0,57","R$ 20.614,48","R$ 20.614,48","R$ 20.614,48","R$ 1.982,95","R$ 1.982,95","R$ 1.982,95","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 22.597,43","R$ 22.597,43","R$ 22.597,43"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,141,Materiais de Consumo,1500,"R$ 30.000,00",,,"R$ 16.748,62","R$ 5.863,06","R$ 459,81","R$ 209,81","-R$ 269,95","R$ 4.977,50","R$ 5.019,46","R$ 7.658,27","R$ 1.580,59","R$ 1.560,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.251,38","R$ 7.017,90","R$ 6.789,67"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,136,Contratação por tempo Determinado,15001,"R$ 75.000,00",,,"R$ 56.283,61","R$ 8.113,88","R$ 8.113,88","R$ 8.113,88","R$ 8.655,09","R$ 8.655,09","R$ 8.655,09","R$ 1.947,42","R$ 1.947,42","R$ 1.947,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 18.716,39","R$ 18.716,39","R$ 18.716,39"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,137,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.385.000,00",,,"R$ 1.156.440,16","R$ 85.950,37","R$ 85.950,37","R$ 85.950,37","R$ 115.163,05","R$ 115.163,05","R$ 115.163,05","R$ 27.446,42","R$ 27.446,42","R$ 27.446,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 228.559,84","R$ 228.559,84","R$ 228.559,84"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,138,Obrigações Patronais,15001,"R$ 700.000,00",,,"R$ 550.241,96","R$ 16.428,49","R$ 16.428,49","R$ 3.568,38","R$ 101.410,30","R$ 101.410,30","R$ 17.664,94","R$ 31.919,25","R$ 31.919,25","R$ 55.776,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 149.758,04","R$ 149.758,04","R$ 77.009,36"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,139,Indenizações e Restituições Trabalhistas,15001,"R$ 30.000,00",,"R$ 22.598,00","R$ 7.402,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,140,Diárias - Pessoal Civil,15001,"R$ 10.000,00",,,"R$ 2.701,80","R$ 208,52","R$ 208,52","R$ 208,52","R$ 729,82","R$ 729,82","R$ 729,82","R$ 6.359,86","R$ 6.359,86","R$ 6.359,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.298,20","R$ 7.298,20","R$ 7.298,20"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,142,Materiais de Consumo,15001,"R$ 100.000,00",,,"R$ 30.409,99","R$ 9.271,51","R$ 371,54","R$ 4,46","R$ 3.094,43","R$ 11.197,03","R$ 9.461,06","R$ 57.224,07","R$ 57.642,62","R$ 4.246,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 69.590,01","R$ 69.211,19","R$ 13.712,26"
Ensino Fundamental,2.029,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,143,Serviços de Terceiro PF,15001,"R$ 150.000,00",,,"R$ 142.140,13","R$ 4.578,82","R$ 2.878,82","R$ 2.878,82","R$ 1.178,82","R$ 2.878,82","R$ 2.878,82","R$ 2.102,23","R$ 2.102,23","R$ 2.102,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.859,87","R$ 7.859,87","R$ 7.859,87"
