Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
13210111016,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145301000,Tranferência Programas Federais ,PNATE,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 12.917,84","R$ 12.917,84","R$ 12.514,10",,
13210111017,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17295201001,Tranferência Programas Estaduais,PTE,"R$ 0,00","R$ 5.194,04",,,,,,,,,,,"R$ 5.194,04","R$ 169.683,90","R$ 51.940,40","R$ 60.029,13",,
13210111023,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
17145001000,Tranferência Programas Federais ,QESE,"R$ 140.004,54","R$ 86.013,92",,,,,,,,,,,"R$ 226.018,46","R$ 1.114.000,00","R$ 1.163.640,23","R$ 964.370,80",,
13210111015,Remunerações Bancárias,Rendimentos ,"R$ 0,00","R$ 0,00",,,,,,,,,,,"R$ 0,00","R$ 0,00",,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,"10.926,91","5.745,44",,,,,,,,,,,,,,,,
