 ,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,588,Auxílio-alimentação,15001,"R$ 30.000,00",,,"R$ 11.000,00","R$ 9.500,00","R$ 9.500,00","R$ 9.500,00","R$ 9.500,00","R$ 9.500,00","R$ 9.500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 19.000,00","R$ 19.000,00","R$ 19.000,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,589,Obrigações Tributárias e Contributivas,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,590,Indenizações e restrições,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,591,Equipamentos e Materiais Permanentes,15001,"R$ 50.000,00",,,"R$ 44.661,00","R$ 5.339,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.339,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.080,MANUT.ATIV. DEPARTAMENTO DE EDUCAÇÃO,592,Aquisição de Imóveis,1500,"R$ 30.000,00",,,"R$ 30.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.212.200.032.082,MANUT.CONTRIBUIÇÕES SUBVENÇÕES AUXILIOS,593,Contribuições,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.236.100.061.011,CONSTRUÇÃO AMPL.REF.ESCOLAS MUNICIPAIS,594,Obras e Instalações,1500,"R$ 150.000,00",,,"R$ 150.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,595,Contratação por tempo Determinado,15001,"R$ 5.000,00","R$ 6.500,00",,"R$ 121,06","R$ 5.471,57","R$ 5.471,57","R$ 5.471,57","R$ 5.907,37","R$ 5.907,37","R$ 5.471,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 11.378,94","R$ 11.378,94","R$ 10.943,14"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,596,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 2.000.000,00",,,"R$ 1.987.577,45","R$ 7.350,98","R$ 7.350,98","R$ 7.350,98","R$ 5.071,57","R$ 5.071,57","R$ 5.071,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.422,55","R$ 12.422,55","R$ 12.422,55"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,597,Obrigações Patronais,15001,"R$ 300.000,00",,,"R$ 295.774,52","R$ 2.175,21","R$ 2.175,21","R$ 0,00","R$ 2.050,27","R$ 2.050,27","R$ 2.175,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.225,48","R$ 4.225,48","R$ 2.175,21"
Ensino Fundamental,1.236.100.062.066,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,598,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 50.000,00",,,"R$ 50.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
