,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Ensino Geral,1.068, CONSTRUCAO/AMPL. REFORMA DE PREDIOS DA EDUCACAO,180,Obras e Instalações,15001,"R$ 326.612,00",,"R$ 32.000,00","R$ 168.557,67","R$ 15.822,76","R$ 8.072,14","R$ 0,00","R$ 0,00","R$ 7.750,62","R$ 15.822,76","R$ 98.381,25","R$ 93.193,76","R$ 134,43","R$ 11.850,32","R$ 5.187,49","R$ 93.059,33",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 126.054,33","R$ 114.204,01","R$ 109.016,52"
Ensino Geral,1.068, CONSTRUCAO/AMPL. REFORMA DE PREDIOS DA EDUCACAO,181,Obras e Instalações,1550,"R$ 110.000,00",,,"R$ 110.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,182,Contratação por tempo Determinado,15001,"R$ 165.000,00",,"R$ 42.000,00","R$ 113.771,27","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.860,08","R$ 4.860,08","R$ 4.860,08","R$ 3.995,72","R$ 3.995,72","R$ 3.995,72","R$ 372,93","R$ 372,93","R$ 372,93",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.228,73","R$ 9.228,73","R$ 9.228,73"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,183,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 1.438.800,00",,,"R$ 1.427.099,79","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.279,52","R$ 10.279,52","R$ 10.279,52","R$ 1.065,52","R$ 1.065,52","R$ 1.065,52","R$ 355,17","R$ 355,17","R$ 355,17",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 11.700,21","R$ 11.700,21","R$ 11.700,21"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,184,Obrigações Patronais,15001,"R$ 220.000,00",,,"R$ 218.056,16","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.179,32","R$ 1.179,32","R$ 0,00","R$ 697,90","R$ 697,90","R$ 1.179,32","R$ 66,62","R$ 66,62","R$ 697,90",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.943,84","R$ 1.943,84","R$ 1.877,22"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,185,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 22.000,00",,,"R$ 22.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,186,Indenizações e Restituições Trabalhistas,15001,"R$ 11.000,00",,,"R$ 11.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,187,Diárias - Pessoal Civil,15001,"R$ 1.199,00",,,"R$ 1.199,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,188,Materiais de Consumo,15001,"R$ 890.351,00",,,"R$ 469.406,91","R$ 149.100,18","R$ 1.740,00","R$ 0,00","R$ 82.741,04","R$ 96.178,41","R$ 18.277,70","R$ 176.554,97","R$ 108.986,70","R$ 90.675,02","R$ 12.547,90","R$ 9.249,38","R$ 97.427,16",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 420.944,09","R$ 216.154,49","R$ 206.379,88"
Ensino Fundamental,2.063,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,189," Premiações Culturais, Artísticas, Científicas, Desportivas e Outras",15001,"R$ 5.500,00",,,"R$ 5.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
